"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"181_167.082_0.663",3766,3766,3766,3766,3766,3766,166865.31,108019.06,150394.17,78745.29,165592.11,174230.33,109369.7,156756.11,81847.18,154731.67,130412.836,180391.5,149766.39,116138.484,93694.484,87042.06,136954.83,129591.88,150703.45,199816.66,117102.96,126609.945,110964.83,105095.65,129363.29,124616.18,126943.945,172662.9,114755.25,148560.95,179407.02,179661.34,123555.01,205885.3,178528.11,112882.94,192277.08,164955.36,126638.99,182591.36,112415.92,174860.58,206892.12,102081.33,126897.93,190450.1,176872.67,214135.52,130975.91,190838.23,101349.875,141930.06,191359.94,107125.42,209564.98,126577.08,126548.625,125674.03,131270.5,138479.28,109616.63,124600.664,184255.16,194199.62,187229.16,144120.5,139730.52,233363.86,146188.7,158672.17,153440.44,167328.03,198417.47,312791.62
"183_155.081_0.692",3766,3766,3766,3766,3766,3766,27572.738,21309.375,15984.016,11723.704,25027.457,25134.834,16082.477,25670.803,14043.391,30608.512,25687.355,27229.043,21629.697,24805.357,24076.373,11020.446,30030.4,26861.164,24387.963,22574.422,9741.864,25577.691,27000.426,23721.64,20479.818,27616.908,15141.5,16113.962,23109.27,12216.943,34322.832,13355.348,21628.535,25195.578,22507.256,21824.01,28502.287,24744.002,26370.492,35914.676,24002.1,14707.289,25917.734,21200.88,20476.41,24229.312,12401.952,31547.943,17856.041,21678.898,36645.73,19002.82,13202.36,31398.713,30387.21,29563.121,42009.56,26432.229,31820.629,31813.328,18668.375,32193.201,8131.4033,23499.246,45367.582,33067.938,37964.633,36214.332,31548.75,57661.492,40029.176,28601.246,35148.344,59433.734
"185_235.108_0.679",3766,3766,3766,3766,3766,3766,123745.305,84147.36,121088.055,128103.77,132526.42,129765.85,87993.195,125770.72,59900.03,117609.055,134752.16,134170.73,142019.84,130601.57,128557.89,45404.086,142865.16,139499.8,99420.69,115916.336,132841.44,91681.07,129574.336,93695.85,95843.93,137223.1,138370.42,139754.69,116748.19,66632.64,135781.92,146216.98,91643.62,154811.34,132994.27,82235.21,142733.33,135954.52,139269.78,135607.66,90333.06,141520.2,121951.23,126114.56,83361.5,103436.68,88824.44,113488.1,91839.94,139548.03,107511.48,144160.55,96309.25,89336.63,92583.62,140590.78,106550.13,99487.18,102584.14,109484.47,105059.72,99156.7,102345.61,104719.17,140835.2,91977.52,93121.08,112120.08,111287.45,105269.85,109836.33,164807.16,148480.02,157517.69
"188_292.121_0.685",165621.12,171629.44,51424.047,3766,3766,3766,3766,3766,45108.715,3766,47295.605,29080.92,3766,13323.485,13221.46,3766,3766,15058.435,11982.038,32106.822,3766,40494.535,66590.88,90568.58,3766,22202.643,17304.002,64750.82,3859.8364,57301.664,59494.586,190522.36,34075.25,54658.656,3766,3766,171856.92,159490.39,14153.367,35071.56,16015.632,17533.408,54823.625,61435.508,22202.121,164737.19,53968.47,62830.973,65912.67,17981.996,3766,184460.56,22641.691,245958.14,46430.414,15415.506,62291.152,60934.883,13328.009,13790.994,71378.23,68796.4,244416.08,60149.656,137843.19,67688.65,73322.586,22551.188,72073.8,76022.445,212595.39,49127.105,34791.613,79479.19,9514.677,71318.66,165913.95,106202.266,18591.578,73784.83
"190_251.15_0.691",3766,3766,3766,3766,3766,3766,657217.06,647383.1,423521.47,439734.1,483536.2,673192.06,695230.8,443111.47,603322.3,628200.75,768404.2,656269.06,735829.5,467781.47,468052.28,476123.5,839780.8,774975.6,435446.03,848930.8,480366.84,538734.4,503883.97,770205.75,505367.1,545666.56,744780.44,506429.78,512400.53,474308.12,787520.75,578362.6,799926.9,896351,756264.4,711621.7,844158.2,520683.12,561960.9,810447,500449.2,565319.9,967528.56,505715.16,776935.5,538763.94,459323.84,937547,817893.06,899263.8,977992.6,891775,874529.25,874250.75,1007057.3,796126.1,988592.5,773417.7,886032.3,912613.06,933877.75,811881.25,485940.66,435043.97,1014613.4,1037146.06,916177,1248783.1,986333.94,1084824.8,1177153.5,1199002.1,1063726,1671759.1
"191_162.066_0.695",3766,3766,3766,3766,3766,3766,136183.27,139345.45,147994.1,142535.52,152970.95,148686.06,141956.55,147035.17,84858.57,146590.05,151209.22,154718.45,163611.64,155969.94,151986.73,61108.44,160336.6,158423.8,128239.06,161840.02,148271.28,157711.22,150835.11,161255.58,185914.94,162569.02,162324.77,158984.58,127527.58,111541.87,162412.05,161354.61,160976.08,161501.6,154028.39,161569.75,163724.64,145647.06,154875.88,156131.78,154733.33,158609.47,161532.11,143637.94,148773.4,168552.94,162607.03,187970.23,154972.58,168017.16,172410.33,164043.97,166513.53,170031.45,168651.36,182806.2,180682.44,173849.95,174336.44,188397.28,180803.33,172517.58,163824.95,192555.19,172275.44,171816.58,162834.23,169654.47,183694.66,171722.62,177284.8,203890.8,178563.33,294376.12
"192_215.139_0.698",3766,3766,3766,3766,3766,3766,634826.94,621677.2,617917.4,605144.5,662398.4,647073.94,649340.44,616663.4,579329.56,631269.56,663049.4,665270.1,657920.3,650449.94,653222.44,447455.44,716721.4,692924.9,755949.3,706098.44,655195.94,686421.8,658573.7,694107.1,663575,685759.56,680787.56,660819.7,806175.06,724303.1,700853.25,706746.3,711709.2,738376.75,664906.9,618835.56,732399.94,663883.44,699948.56,719213.25,691263.75,713554,757741.75,675793.9,629389.75,738938.9,671340.94,774600.94,674632.25,678751.4,744615.2,712922.6,675135.56,699909.5,729154.25,691265,737879.94,665613.44,725586,734446.5,735241.06,672910.6,707901.4,722977.25,734419.06,768069.25,699995.4,831982.2,760507.9,783721.6,799803.7,837742.4,753462.7,1181463.4
"194_216.143_0.697",3766,3766,3766,3766,3766,3766,63620.46,40871.383,53375.137,56119.496,58705.87,61684.027,60032.008,54628.953,50372.637,49189.3,59409.09,60196.043,63818.156,64294.938,54170.24,28263.73,62736.598,69862.04,69471.984,66990.63,59616.223,46867.027,53213.91,64440.35,60972.42,64159.355,62388.02,60057.76,74020.72,70548.88,59445.71,63943.465,59133.832,69921.85,57187.527,62448.785,47021.465,60883.105,62810.54,60804.18,57055.844,62104.02,72098.836,55438.05,56385.223,70057.49,64127.043,72865.43,60909.375,67886.6,70835.08,66703.266,64841.566,64255.527,71490.1,61310.258,67834.65,62134.96,40491.293,68891.945,62762.477,60724.348,44986.875,69103.63,67899.86,65483.066,61903.496,81494.81,49121.71,69346.766,74206.25,50405.15,71460.51,114179.52
"197_310.114_0.665",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,30663.434,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,30845.19,3766,25662.541,22317.572,13175.455,9940.67,12122.538,3766,3766,3766,3766,3766,3766,4650.8936,3766,3766,3766,3766,3766
"202_212.111_0.735",3766,3766,3766,3766,3766,3766,74915.28,84439.46,70836.75,109814.84,115945.68,78142.81,118963.195,76737.08,93261.58,111602.18,113550.31,83052.18,115133.125,115626.98,116517.58,49416.19,124754.125,119989.984,74439.164,120474.01,114101.35,119070.36,76649.27,122311.1,116989.39,122021.086,120624.92,83075.945,89568.73,88466.766,75633.41,121742.875,77047.85,93480.27,78621.54,74214.24,87187.48,113774.68,120565.484,125479.48,76866.34,83350.92,97556.04,71699.61,110747.62,127233.05,89555,100792.195,117510,84141.586,89383.45,72558.92,51258.08,118175.57,119412.63,82608.25,91130.38,117514.59,123575.35,123723.43,120991.32,111035.664,92236.52,95519.35,77418.05,82865.664,81361.2,95007.29,125964.125,85178.88,123778.65,130596.734,117334.73,134427.83
"203_211.108_0.736",3766,3766,3766,3766,3766,3766,1128247.4,1113861.8,1086787.4,1071188.6,1130929.5,1117783.1,1156174.5,1098110.4,901263.25,1088489.1,1110979.9,1145327.6,1115153.1,1107818.1,1124288.6,692905.56,1208565.1,1161464.4,1090273.4,1183490.2,1102658.2,1149477.8,1111161.9,1172812.5,1130474.1,1165461.2,1150285.8,1130958.6,1252104.6,1152433.5,1178915.6,1175770.5,1166569,1237819.5,1105927.5,1030203.2,1205484.8,1118414.5,1160601.8,1193394.5,1161010,1202812.4,1263362.5,1116501.4,1079266.4,1223065.2,1143653.6,1273550,1135793.6,1112765,1169663.6,1145245.5,1104835.5,1133814.9,1143321.2,1145245.9,1162423.2,1103784.9,1205835.6,1202919.2,1185215.2,1074897.9,1197672.9,1197211.2,1075375.6,1089238.1,1100696.5,1204877.1,1202170,1111414.8,1180709.4,1231823.2,1110841,1774736.5
"204_176.057_0.735",3766,3766,3766,3766,3766,3766,3766,3766,13236.627,15085.227,18652.695,3766,3766,12499.485,3766,3766,4939.341,3766,3766,10369.225,18959.697,3766,8051.699,10863.646,3801.0776,6264.8906,14594.201,25076.984,21126.752,5057.155,19727.36,18648.143,5709.5396,15002.185,9574.84,6502.6655,9998.793,18070.521,12673.928,7979.7754,9371.054,5204.671,9600,15524.967,27368.275,13035.366,14463.923,25493.879,7589.627,21650.94,9110.107,30238.9,31273.922,9942.838,9859.978,13492.334,11065.525,3766,3766,3766,8671.1455,3766,30326.479,5885.015,3766,6471.3374,5104.111,4621.884,32938.906,48160.137,42691.18,51778.598,5248.9814,56716.895,3766,40563.695,3766,3839.8242,3766,3766
"205_228.134_0.737",3766,3766,3766,3766,3766,3766,1279423.2,1262534.4,1218530.9,1206163.6,1288205.5,1266266.1,1307584.1,1234563.9,1025694.44,1230230.9,1272168.9,1295754.4,1271822.9,1266998.4,1276456.4,785374.94,1372169.9,1322840.1,1241463.8,1345567.4,1256626.6,1310425.8,1249731,1329358.1,1285508.2,1316359.1,1308536.4,1276181.9,1410147.6,1317328.9,1335247,1341920.9,1328754.8,1403819.8,1255692.5,1185524,1366556,1264416.5,1313224.6,1348039.5,1306585.6,1357210.2,1426039.5,1269422.5,1275064.1,1382795.2,1288724.8,1452812.1,1329019.5,1264931.2,1316542,1303072.2,1266177,1293163.5,1301016.4,1300268.9,1330192.5,1264573.2,1388583,1354757,1347220.5,1208224.6,1339941.8,1352258.5,1218916.4,1250779.4,1247760.2,1360295,1352072.2,1265462.5,1336864,1404186.4,1262752.6,1985203.9
"207_250.116_0.737",3766,3766,3766,3766,3766,3766,409914.28,278731.4,410991.2,391201.97,444452.84,289564.66,302984.47,407701.3,241567.86,425694.66,315807.75,441598.72,437716.66,292901.16,442275.78,188851.3,513212.44,330271.84,372437.25,490408.78,445140.56,481928.84,460813.34,317106.75,453544.6,473234.3,458406.25,312240.06,429494.28,384372.62,326485.16,494702.5,518125.2,541399.06,467427.06,412532.44,530196.4,313010.84,329126.72,513939.8,506943.97,520096.66,550775,510994.44,448658.1,383469.34,493718.3,568940.2,468561.62,457168.2,480440.03,327331.38,448555.8,465267.34,464892.25,466831.47,476755.62,450791.88,324448.97,501639.75,494890.62,446244.66,377267.44,521440.03,299698.5,463690.72,270145.4,499550.7,498559.5,471727.6,345549.66,531142.06,473640.75,774217.7
"208_167.118_0.707",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,12088.143,3766,3766,6509.777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5679.2847,3797.3564,3766,19563.436,3766,48131.96,12007.975,3766,9447.498,10512.245,6633.429,9272.809,11315.1,8367.377,3766,11090.246,15837.937,17608.064,3766,3766,20729.766,3766,3766,3816.1157,17998.955,58592.395,4757.1807,51555.332,10008.781,46523.004,48419.02,34284.02,13208.707,27490.924,19833.81,9010.099,3766,11869.656,11760.681,21359.97,4046.028,26798.793,26152.686,45913.863
"211_239.139_0.74",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5224.9043,3766,3766,3766,3766,3766,3766,3766,9660.465,3766,22285.146,21450.346,15894.677,29440.943
"213_231.17_0.763",3766,3766,3766,3766,3766,3766,7950.764,16241.372,22121.184,3766,7660.7563,3766,3766,9672.228,6595.4336,25305.031,3766,6588.7007,3766,16454.623,50472.72,6483.5044,9610.7705,3766,38889.234,3766,9491.589,12030.182,15195.684,3766,36232.336,14144.617,3766,15042.017,43630.082,44086.723,3766,14582.361,3766,3766,3766,3766,3766,35633.465,3766,3766,9597.29,13429.47,25999.312,17462.246,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"215_256.075_0.773",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6688.1045,3766,3766,3766,3766,3766,4708.6543,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5964.234,42897.566,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"216_188.074_0.82",3766,3766,3766,3766,3766,3766,29846.307,32226.355,33926.066,32901.58,36413.074,25357.201,32180.97,33654.066,21285.566,33454.895,36087.664,35826.094,37346.777,35907.42,35772.035,12324.213,39249.344,38317.254,28284.912,39681.582,35335.29,38394.336,36847.473,37492.11,40542.367,39345.473,37997.195,37903.973,21504.678,23685.717,38264.75,40541.855,39320.96,40879.734,37091.438,38692.38,39380.715,36818.254,39350.51,39224.574,38449.574,37915.33,40794.688,36834.098,36383.65,42632.84,39965.05,44958.992,39331.32,36554.195,37215.64,41594.71,41330.67,41740.57,39222.66,42827.344,33147.43,41510.895,45310.887,44825.25,44562.117,43252.83,40639.426,45464.836,19528.363,22997.89,36266.13,27725.016,47964.637,26209.42,50368.574,54114.062,45837.53,74932.88
"220_203.085_0.913",3766,3766,3766,3766,3766,3766,105656.86,11754.419,97276.06,14227.28,65008.47,80711.16,4965.8115,84686.945,45630.355,155179.83,26802.04,83386.625,5291.612,84344.54,89761.625,10234.854,80918.695,75218.59,82537.9,27081.31,27301.748,22060.072,90917.164,3766,27659.926,84078.4,25123.143,17504.066,69762.92,14812.258,161004.3,23963.242,142719.67,29717.14,39525.14,72482.81,92405.445,71478.24,78884.45,138677.56,133971.62,109123.74,23635.05,160901.05,84787.22,26520.06,19808.86,37493.895,71914.164,24176.066,33149.363,30038.627,33139.797,20781.746,39640.516,81632.12,31928.424,24675.064,74887.4,29734.414,32100.434,72724.21,29437.408,25239.025,48394.684,66358.055,35745.953,68487.586,26099.715,103247.31,44483.91,47200.61,45755.945,106727.555
"222_192.102_0.842",3766,3766,3766,3766,3766,3766,41071.766,29996.777,3766,3766,3766,41088.723,41536.293,3766,54792.72,43089.402,115209.516,32608.68,55496.18,4304.695,5320.0806,38216.863,134268.12,86279.01,6411.9355,129972.88,5050.735,5733.1196,10008.76,65218.27,5617.7026,9901.971,67929.12,3766,9015.569,4596.1636,125364.08,12967.305,167720.56,179702.03,107150.414,61549.555,175879.31,8002.985,11668.835,157413.39,7411.533,10142.042,212606.16,10121.272,180118.6,4311.8784,3766,226942.19,190580.33,7733.157,3766,230114.05,242773.06,240955.22,3766,91211.086,3766,65679.62,137794.88,103081.28,132672.11,93108.555,3766,3766,3766,3766,4304.7383,3766,181939.4,3766,229704.33,215060.72,163908.27,265175.88
"223_155.081_0.926",3766,3766,3766,3766,3766,3766,219489.88,40305.707,227231.66,119008.74,151573.55,178779.3,47149.68,213983.66,127141.94,306467.62,166655.2,183299.39,43590.566,175108.77,219406.34,92245.125,204459.89,180324.64,193491.98,47949.934,40502.56,166242.36,205605.55,46833.395,71193.586,185741.62,114710.414,144339.72,165945.97,97410.516,309184.6,135145.48,290427.4,45750.242,149305.3,164385.98,214602.34,171423.53,174204.14,286259.06,250436.06,232586.62,64000.816,317297,181080.08,46548.77,31039.92,61487.19,173208.5,51754.16,63287.96,49761.26,52576.418,130888.336,85923.72,170687.06,83820.85,45180.63,195255.97,167337.73,179005,174962.36,48040.22,47233.94,202938.64,197125.61,188695.33,126425.98,144092.64,226739.67,75766.14,69152.07,136075,219770.94
"224_191.09_0.861",3766,3766,3766,3766,3766,3766,28190.645,19878.7,135695,124430.38,97105.766,30071.922,19609.45,127235.25,3766,21296.607,3766,46054.7,13049.168,119852.05,146111.06,3766,3766,3766,118579.38,3766,108791.76,54166.734,84029.07,6224.053,131164.1,53520.418,7493.889,92577.59,95301.38,87544.44,3948.5786,28464.55,3766,3766,3766,3766,3766,54504.89,6818.313,19307.645,10171.883,45644.863,3766,22814.031,3766,3766,20196.143,21179.15,3766,22035.574,14385.8955,9122.379,17025.086,11243.539,9889.316,3766,25312.129,3766,3766,3766,3766,3766,18349.342,20448.096,22410.297,50690.188,4470.9204,52127.1,3766,52061.75,3766,3766,3766,3766
"225_152.071_0.855",3766,3766,3766,3766,3766,3766,29648.56,25587.572,31492.598,32771.164,31182.441,27810.941,29408.812,31156.375,14108.57,30885.18,27739.666,32226.021,29642.904,31882.787,33741.727,11274.047,32450.342,29268.691,29502.516,31880.957,29275.82,31960.332,29245.559,32368.836,38850.066,33967.152,32153.312,31758.701,28835.387,16347.945,31442.775,30716.553,29470.783,29822.658,27098.29,27269.443,29884.967,30457.947,30651.834,27473.629,31391.264,33006.395,34314.06,27999.395,28266.373,31730.252,29177.996,33074.637,31117.918,22706.652,17437.17,19174.705,20722.729,20385.293,18467.102,28863.86,17039.328,30174.682,28975.277,28527.736,26210.979,27629.828,33391.63,37435.44,20323.344,16565.654,19018.43,12234.963,27449.709,12073.0205,25954.824,24982.594,18119.268,45022.785
"226_151.123_0.859",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8026.378,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,8370.509,12299.964,3766,3766,17255.205,3766,3766,11818.53,3766,3766,24309.42,3766,22797.994,3766,3766,25538.67,15760.354,186920.64,358180,188655.02,190621.98,207667.39,322569.38,3766,303751.47,3766,13777.317,5222.9023,11678.222,3766,3766,3766,458675.2,564529.56,318043.7,596463.56,27182.121,567417.3,208259.06,175699.48,101636.195,184959.12
"227_190.086_0.861",3766,3766,3766,3766,3766,3766,301017.88,296417.88,1212692.8,1241551.4,938261,312261.53,275338.47,1155142.8,134543.25,327129.44,86801.72,457490.44,197955.3,1142484.2,1302775.5,93266.89,137682.73,143333.2,1087048.9,150512.75,1079980.9,523320.47,752961.44,184158.28,1313367.2,519391.7,175045.08,905106.6,904452.25,920692.1,186995.58,298479.4,151449.73,104875.94,125198.875,55516.223,129210.04,525046.06,184288.36,193752.38,257097.73,437705.8,146641.86,375192.5,98608.31,118956.414,276948.3,203086.22,105688.97,244154.8,234765.03,155169.94,167770.58,181408.6,191768.97,58593.92,294268.8,59131.203,24694.555,55166.96,50814.137,49884.914,258907.56,260862.97,310868.94,533017.8,241266.44,577163.6,38555.58,538470.8,18525.812,47612.08,42375.656,72610.89
"229_176.071_0.882",3766,3766,3766,3766,3766,3766,41368.11,39705.37,302416.22,384748.88,257760.97,36378.527,28600.82,310376.03,3766,16871.049,3766,137074.6,25430.97,315381.62,409272.9,3766,3766,3766,343680.97,3766,302334.34,150973.39,209268.2,18447.441,398065.97,143153.33,14486.788,295210.88,260004.22,278492,3766,42781.473,3766,3766,3766,3766,3766,158069.55,15492.447,3766,32140.303,120161.37,3766,100871.78,3766,3766,38885.07,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,33240.723,36640.617,3766,43774.766,3766,100484.8,3766,44094.38,3766,3766,3766,3766
"230_216.077_0.953",3766,3766,3766,3766,3766,3766,60979.35,41968.992,61025.3,41968.438,52503.703,53901.375,14223.298,58422.637,28901.47,61883.953,52182.145,54979.355,17914.701,56423.574,64963.895,19026.54,63551.395,48465.777,43411.97,28020.947,46910.83,56789.82,61100.855,33450.402,50319.742,58950.844,41699.465,50577.85,45176.316,27291.162,69887.92,49223.992,70729.36,34804.24,46942.625,43737.082,63725.207,56449.32,59297.156,66776.61,65712.7,65354.69,62798.926,76001.82,50645.008,42749.844,28666.717,39564.61,51763.945,25878.016,24300.928,30087.123,18902.83,11121.155,25514.852,46908.418,37898.36,38762.617,47599.12,49044.473,53738.242,49707.395,20005.879,24980.818,19127.934,7070.6074,32507.012,10411.401,48978.613,6505.437,26347.844,51793.617,36922.92,70863.56
"232_154.086_0.877",3766,3766,3766,3766,3766,3766,22568.979,16740.65,16897.96,13021.349,10054.487,10056.208,16943.219,9417.054,3766,16914.201,24988.771,12162.785,12692.178,21895.506,21872.738,3766,26729.959,21928.922,15537.016,17299.793,11230.958,11963.817,15955.299,15923.297,19531.814,18418.137,17879.678,13238.608,3766,13922.368,22111.39,10842.483,23345.123,32503.531,22084.025,16742.04,27652.305,14088.185,9264.156,13347.867,25219.023,11260.997,23841.56,7520.5635,35660.867,11845.114,20956.441,17663.691,36673.77,13596.837,77402.54,72683.34,62335.625,74352.9,75955.03,18038.814,18468.154,18691.746,16270.81,14482.936,14032.205,8362.997,18070.012,16561.033,29403.71,77844.11,61679.316,86546.65,16967.812,89118.34,15144.646,6966.7964,6238.3667,16086.397
